ward_id,single_detached_house,semi_detached_house,row_house,apartment_or_flat_in_a_duplex,apartment_in_a_building_that_has_fewer_than_five_storeys,apartment_in_a_building_that_has_five_or_more_storeys,other_single_attached_house
1,11225,1360,3610,3945,2055,15695,0
2,21795,870,1935,795,2020,17585,35
3,18265,1305,2340,1455,10800,25535,30
4,8840,4070,1340,2395,14245,19350,55
5,13165,3185,1260,2050,7185,18040,30
6,10180,2950,1135,1825,6635,17070,45
7,4585,7390,4040,1050,4940,14205,10
8,17175,1540,1085,2180,7775,14340,125
9,6545,6475,2220,3360,18955,7515,520
10,515,615,2390,1020,4975,58070,345
11,4235,3520,2115,1805,15035,24080,420
12,8895,2890,940,1505,11545,27535,40
13,235,685,2215,365,6800,48120,90
14,8415,9240,2920,2710,12965,9690,210
15,14750,2880,1165,435,4900,15545,10
16,5525,2170,2935,295,5160,21950,20
17,8880,3610,4240,575,3090,22060,20
18,12250,865,1750,1395,3110,30560,25
19,12820,6685,1735,2175,10780,11690,110
20,14775,2410,2120,3230,4585,14025,355
21,13900,775,2700,4000,2285,16595,35
22,11160,1330,4370,1505,1685,16670,40
23,11795,2675,4590,2225,1495,6375,185
24,12225,690,2180,2520,1395,16880,35
25,17505,1915,4530,2765,1235,3960,60
