ward_id,agriculture_forestry_fishing_and_hunting,mining_quarrying_and_oil_and_gas_extraction,utilities,construction,manufacturing,wholesale_trade,retail_trade,transportation_and_warehousing,info_and_cultural_industries,finance_and_insurance,real_estate_and_rental_and_leasing,professional_scientific_and_technical_services,management_of_companies_and_enterprises,admin_and_support_waste_mgmt_services,educational_services,health_care_and_social_assistance,arts_entertainment_and_recreation,accommodation_and_food_services,other_services_except_public_administration,public_administration,in_labour_force,employed,unemployed,not_in_labour_force,unemployment_rate
1,75,35,150,3835,8315,2290,6455,5190,1225,2290,955,2895,75,4265,2740,5410,960,3985,2275,1465,57310,51215,6095,37985,10.6
2,95,55,305,4625,4555,2750,6110,3335,1630,4675,1800,6645,190,3095,5250,5520,1390,3120,2635,2640,61965,57505,4465,36825,7.2
3,155,135,335,4895,5180,3550,7150,3800,2990,6000,2275,9435,220,3690,5645,6515,1680,4360,3045,3355,76150,70985,5165,34570,6.8
4,110,80,285,2675,2945,2040,5280,1990,4370,4345,1540,9255,280,2540,6615,5755,2680,5110,2870,2825,64935,60510,4425,25690,6.8
5,100,55,135,6725,6080,2010,6570,3315,1240,2605,1290,2770,85,4805,3050,5965,955,3835,3395,1540,58630,53105,5525,37025,9.4
6,65,70,170,4140,5860,2030,5655,2425,1185,2850,1385,4655,125,3520,3665,6420,980,3485,3780,1835,55910,51610,4300,32135,7.7
7,115,35,125,4240,8500,1960,5835,3425,725,1810,840,2220,85,3915,2360,4260,700,3885,2590,945,51005,45390,5615,36555,11.0
8,95,105,160,2900,3180,2095,5195,1570,1905,5440,2425,8330,185,3035,5310,7370,1420,3460,3850,1725,61225,56615,4605,31240,7.5
9,95,55,180,5870,3680,1640,6395,1955,4220,3375,1465,6980,160,3725,5575,5285,2520,6080,3215,2280,66070,61375,4700,27880,7.1
10,75,270,395,2065,2770,2655,5745,1700,5980,13260,2560,19310,395,2810,4805,6050,2870,6245,2495,2965,86640,82205,4435,20255,5.1
11,95,100,200,1625,1770,1420,4310,1005,3985,5780,1850,11075,215,1925,7435,5635,2580,4785,2440,2500,62210,57620,4590,29165,7.4
12,105,65,195,2365,2355,1650,5185,1200,3415,6060,2270,10810,260,2570,6310,6445,1805,3965,3505,2580,64335,60255,4080,27910,6.3
13,25,115,300,1320,1920,1330,5275,1825,3835,6310,1560,10520,220,2835,5230,5820,2195,5990,2805,2835,64285,58655,5630,27125,8.8
14,80,60,270,2475,2490,1605,5150,1625,4400,4745,1345,8470,225,2395,5850,5620,2295,5065,2835,3080,61430,57285,4150,27365,6.8
15,105,140,250,2055,2150,1880,4115,1475,2085,5825,2115,8615,255,2220,4285,6115,1235,2540,2180,1835,52950,48690,4260,29670,8.0
16,45,75,160,2275,2950,1650,5160,1965,1715,3760,1490,4945,135,2970,3175,4840,865,3035,2425,1620,47145,42745,4400,30930,9.3
17,45,95,285,2350,3880,2170,5645,1905,1770,5385,1895,8135,125,2575,4140,5930,700,3460,2190,1760,56630,51530,5095,37780,9.0
18,65,100,350,2460,3580,2300,5880,1550,1895,7310,2135,9670,195,2455,4590,6100,1005,3600,2835,2415,62770,57355,5415,41095,8.6
19,125,120,230,2785,2465,1460,5445,1995,3675,4885,1495,7590,155,3015,5750,5870,1985,4240,2610,3040,60680,55835,4850,28565,8.0
20,60,55,230,2945,3880,1545,5940,2860,2000,4280,1565,4305,95,3660,3685,6010,975,4885,2510,2120,55915,50465,5455,33740,9.8
21,45,35,255,2900,5250,1970,6435,2740,1480,3895,1325,3675,100,3975,3035,6255,755,4825,2570,1800,55545,50305,5240,36730,9.4
22,85,60,170,2205,5210,2280,5875,1915,1340,3855,1155,4470,60,2860,2865,4660,560,4535,2380,1200,49960,44990,4970,39965,9.9
23,160,55,165,2105,6515,2130,5600,2000,1280,3375,970,3555,60,2755,2125,4190,555,5250,1930,1260,48070,43325,4740,34675,9.9
24,30,50,265,2220,4745,1825,5600,2510,1305,3145,990,3315,60,3965,2900,5340,605,3650,1955,1635,48565,43195,5370,34510,11.1
25,50,40,345,2430,5070,1870,5530,2640,1715,4745,1245,4055,130,3305,3905,5855,735,3540,2065,2135,53340,48605,4735,31725,8.9
